timestamp_s,voltage_v,current_a,power_w,energy_j,load_type,measurement_status,notes
0.0,12.064,0.3381,4.0788,0.000,LED strip,simulated,steady low-voltage lighting load
1.0,12.020,0.3457,4.1553,4.155,LED strip,simulated,steady low-voltage lighting load
2.0,12.027,0.3436,4.1325,8.288,LED strip,simulated,steady low-voltage lighting load
3.0,12.046,0.3549,4.2751,12.563,LED strip,simulated,steady low-voltage lighting load
4.0,12.027,0.3467,4.1698,16.733,LED strip,simulated,steady low-voltage lighting load
5.0,12.081,0.3530,4.2646,20.997,LED strip,simulated,steady low-voltage lighting load
6.0,12.038,0.3528,4.2470,25.244,LED strip,simulated,steady low-voltage lighting load
7.0,12.033,0.3571,4.2970,29.541,LED strip,simulated,steady low-voltage lighting load
8.0,12.096,0.3647,4.4114,33.953,LED strip,simulated,steady low-voltage lighting load
9.0,12.100,0.3574,4.3245,38.277,LED strip,simulated,steady low-voltage lighting load
10.0,12.071,0.3589,4.3323,42.609,LED strip,simulated,steady low-voltage lighting load
11.0,12.059,0.3670,4.4257,47.035,LED strip,simulated,steady low-voltage lighting load
12.0,12.088,0.3634,4.3928,51.428,LED strip,simulated,steady low-voltage lighting load
13.0,12.061,0.3687,4.4469,55.875,LED strip,simulated,steady low-voltage lighting load
14.0,12.040,0.3680,4.4307,60.306,LED strip,simulated,steady low-voltage lighting load
15.0,12.077,0.3656,4.4154,64.721,LED strip,simulated,steady low-voltage lighting load
0.0,9.026,0.1191,1.0750,0.000,power resistor,simulated,stable resistive test load
1.0,9.015,0.1224,1.1034,1.103,power resistor,simulated,stable resistive test load
2.0,9.028,0.1214,1.0960,2.199,power resistor,simulated,stable resistive test load
3.0,9.053,0.1205,1.0909,3.290,power resistor,simulated,stable resistive test load
4.0,9.024,0.1253,1.1307,4.421,power resistor,simulated,stable resistive test load
5.0,9.049,0.1223,1.1067,5.528,power resistor,simulated,stable resistive test load
6.0,9.045,0.1210,1.0944,6.622,power resistor,simulated,stable resistive test load
7.0,9.010,0.1246,1.1226,7.745,power resistor,simulated,stable resistive test load
8.0,9.035,0.1236,1.1167,8.862,power resistor,simulated,stable resistive test load
9.0,9.032,0.1303,1.1769,10.038,power resistor,simulated,stable resistive test load
10.0,9.069,0.1240,1.1246,11.163,power resistor,simulated,stable resistive test load
11.0,9.010,0.1289,1.1614,12.324,power resistor,simulated,stable resistive test load
12.0,9.049,0.1291,1.1682,13.493,power resistor,simulated,stable resistive test load
13.0,9.063,0.1294,1.1728,14.665,power resistor,simulated,stable resistive test load
14.0,9.026,0.1353,1.2212,15.887,power resistor,simulated,stable resistive test load
15.0,9.052,0.1245,1.1270,17.014,power resistor,simulated,stable resistive test load
0.0,7.477,0.2559,1.9134,0.000,pulsed load,simulated,simulated IoT-style duty cycle
1.0,7.443,0.2645,1.9687,1.969,pulsed load,simulated,simulated IoT-style duty cycle
2.0,7.426,0.2722,2.0214,3.990,pulsed load,simulated,simulated IoT-style duty cycle
3.0,7.475,0.2719,2.0325,6.022,pulsed load,simulated,simulated IoT-style duty cycle
4.0,7.464,0.2843,2.1220,8.144,pulsed load,simulated,simulated IoT-style duty cycle
5.0,7.474,0.2853,2.1323,10.277,pulsed load,simulated,simulated IoT-style duty cycle
6.0,7.476,0.2913,2.1778,12.455,pulsed load,simulated,simulated IoT-style duty cycle
7.0,7.488,0.3022,2.2629,14.717,pulsed load,simulated,simulated IoT-style duty cycle
8.0,7.457,0.3029,2.2587,16.976,pulsed load,simulated,simulated IoT-style duty cycle
9.0,7.450,0.3011,2.2432,19.219,pulsed load,simulated,simulated IoT-style duty cycle
10.0,7.498,0.2106,1.5791,20.798,pulsed load,simulated,simulated IoT-style duty cycle
11.0,7.460,0.2055,1.5330,22.331,pulsed load,simulated,simulated IoT-style duty cycle
12.0,7.453,0.2043,1.5226,23.854,pulsed load,simulated,simulated IoT-style duty cycle
13.0,7.486,0.2119,1.5863,25.440,pulsed load,simulated,simulated IoT-style duty cycle
14.0,7.486,0.2078,1.5556,26.996,pulsed load,simulated,simulated IoT-style duty cycle
15.0,7.464,0.2091,1.5607,28.557,pulsed load,simulated,simulated IoT-style duty cycle
0.0,5.106,0.3654,1.8657,0.000,small DC fan,simulated,startup surge then settling fan load
1.0,5.072,0.3494,1.7722,1.772,small DC fan,simulated,startup surge then settling fan load
2.0,5.056,0.3425,1.7317,3.504,small DC fan,simulated,startup surge then settling fan load
3.0,5.057,0.3261,1.6491,5.153,small DC fan,simulated,startup surge then settling fan load
4.0,5.097,0.3210,1.6361,6.789,small DC fan,simulated,startup surge then settling fan load
5.0,5.107,0.3121,1.5939,8.383,small DC fan,simulated,startup surge then settling fan load
6.0,5.069,0.3057,1.5496,9.933,small DC fan,simulated,startup surge then settling fan load
7.0,5.106,0.3134,1.6002,11.533,small DC fan,simulated,startup surge then settling fan load
8.0,5.118,0.3090,1.5815,13.114,small DC fan,simulated,startup surge then settling fan load
9.0,5.065,0.3089,1.5646,14.679,small DC fan,simulated,startup surge then settling fan load
10.0,5.110,0.3052,1.5596,16.238,small DC fan,simulated,startup surge then settling fan load
11.0,5.129,0.3078,1.5787,17.817,small DC fan,simulated,startup surge then settling fan load
12.0,5.088,0.2950,1.5010,19.318,small DC fan,simulated,startup surge then settling fan load
13.0,5.081,0.2978,1.5131,20.831,small DC fan,simulated,startup surge then settling fan load
14.0,5.132,0.2916,1.4965,22.328,small DC fan,simulated,startup surge then settling fan load
15.0,5.134,0.2957,1.5181,23.846,small DC fan,simulated,startup surge then settling fan load
